trial,day,go,mo,oc,pl
1,1,702.125,1857.225,2224.325,3267.1
2,1,798,1441.5,1706.125,2274
3,1,696.4,1094.6,1382.725,2194.975
4,1,834.725,1461.3,1906.975,2297.925
5,1,538.625,862.35,1139.025,1600.3
6,1,735.65,1383.925,1640.15,2053.675
7,1,600.875,1520,1754.375,2336.375
8,1,701.8,1253.6,1550.05,2283.05
9,1,618.7,1074.625,1376.075,1986.35
10,1,968.025,1508.375,1873.9,2446.45
11,1,819.25,1265.575,1594.2,2242.7
12,1,868.35,1543.475,1922.375,2856.775
13,1,867.7,1052.55,1430.5,2024
14,1,668.975,1951.35,2197.125,2953.975
15,1,851.2,1493.75,1883.45,2546.275
16,1,668.125,1256.925,1630.825,2143
17,1,1034.475,1622.4,1946.15,2483.35
18,1,734.625,1471.7,1831.725,2841.15
19,1,568,1179.2,1450.85,2281.025
20,2,834.525,1396.525,1685.3,2216
21,2,935.5,1430.2,2089.2,2979.825
22,2,552.075,1245.225,1626.525,2071.55
23,2,967.5,1662.025,2180.6,2746.65
24,2,838.425,1007.5,1283,1683.75
25,2,1003.125,1465.975,1809.475,2553.9
26,2,568.6,1545.35,1821.1,2693.2
27,2,817.75,1466.725,1812.325,2267.775
28,2,934.025,2248.15,2543.5,3101.1
29,2,701.475,1555.825,1969.35,2567.575
30,2,617.7,1227.15,1812.975,2444.7
31,2,1000.825,1602.625,1948.8,2626.525
32,2,568.3,953.275,1466.8,2056.3
33,2,785.225,1287.6,1661.325,2199.85
34,2,684.275,1290.875,1610.7,2462.775
35,2,567.125,1081.025,1587.15,2721.675
36,2,934.45,1623.975,1972.8,2510.125
37,2,934.6,1339.1,1586.375,2049.65
38,2,567.75,1139.525,1519.675,2306.275
39,2,701.15,1521.925,1961.6,2826.7
40,2,869.1,1110.275,1388.05,1886.7
41,2,801.25,1310.775,1559.675,2142.175
42,2,868.25,1358.275,1655.725,2202.975
43,2,801.175,1701.325,1978.225,2857.425
44,2,668.025,1374.025,1742,2289.35
45,2,634.225,1244.825,1523.8,2035.75
46,2,750.8,1906.975,2182.825,2789.5
47,2,900.375,1335.7,1608.375,2685.625
48,2,1000.775,1420.125,1807.825,2336.475
49,3,868.975,1487.375,1786.825,2474.55
50,3,976.4,1564.825,1911.275,2354.15
51,3,700.825,1381.075,1692.1,2189.55
52,3,1034.375,2129.525,2433.775,2718.3
53,3,709.125,1309.3,1608.9,1953.65
54,3,833.975,1851.625,2137.5,2557.65
55,3,618.4,1159.3,1562.75,2102.675
56,3,985.875,2261.625,2620.475,3155.775
57,3,668.075,1548.7,2030.6,2608.375
58,3,817.05,1626.125,2088.175,2744.125
59,3,1034.325,2179.375,2879.075,3058.425
60,3,567.775,1470.175,2052.475,2382.525
61,3,668.575,1502.775,1833.7,2730.225
62,3,800.4,1823.55,2290.225,2800.95
63,3,609.45,1392.6,1741.075,2325.475
64,3,900.925,1603.3,2178.15,2621.125
65,3,801.15,1506.3,1847.75,2390.775
66,3,834.475,1235.9,1572.95,2482.7
67,3,601.45,1247.025,1583.725,2288.225
68,3,700.775,1343.425,1637.075,2401.1
69,3,573.775,914,1190.15,1731.825
70,3,868.975,2011.425,2375.975,3010.375
71,3,817.925,1617.075,2051.725,2688.5
72,3,806.975,1579.45,1943.6,2384.15
73,3,935.3,1410,1830.425,2759.2
74,3,604.375,1153.85,1469.025,2249.875
75,3,973.35,1845.3,2226.325,2872.175
76,3,601.1,815,1503.15,2517.525
77,3,885.025,1490.3,1806.075,2358
78,3,777.575,1105.55,1585.4,2066.325
79,3,567.725,1083.1,1332,1801.975
80,3,867.925,1202.125,1467.275,1913.125
81,3,601.625,1340.4,1573.825,2074.9
82,3,618.475,1441.725,1727.8,2208.7
83,3,835.6,1571.45,1816.375,2433.625
84,3,934.075,1771.85,2031.75,2805.15
85,3,767.425,992.725,1284.2,1727.075
86,3,708.575,1198.425,1491.45,2019.7
87,3,673.625,1751.35,2195.925,2825.825
88,4,767.025,1454.05,1735.425,2400.775
89,4,935.225,1819.025,2215.075,2756.375
90,4,736,1606.6,1887.75,2554.375
91,4,751.1,1045.8,1447.675,1935.2
